"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
60000,100,93,1,14,37,0,NA,111.2,64
53650,100,95,1,12,28,0,NA,160.9,70
119957,100,93,1,16,18,0,88,152.3,62
79230,100,91,1,16,28,0,91,139.4,69.8
131750,100,93,1,17,17,0,88,137.9,61.1
89341,100,93,1,16,13,0,NA,157.3,70
173008,100,92,1,23,24,0,78,182.7,61.9
78585,100,93,1,12,10,0,55,225.6,104.7
175000,100,95,1,13,0,0,NA,111.6,44.9
88279,100,110,1,10,12,0,93,114,54
781712,100,91,2,24,104,0,88,152.5,60.5
64800,100,96,1,12,15,0,NA,218.8,91.1
932541,100,97,1,24,1,0,80,188,68.4
145720,95,113,1,10,42,0,95,100.6,47.3
164243,60,91,1,17,29,0,96,96.5,30.7
235678,100,92,1,23,0,0,84,172.9,90.5
191211,100,92,1,18,21,0,83,156.3,65.3
100972,100,104,1,12,65,0,99,75.1,23.9
70579,100,95,1,14,0,0,91,120.1,57
175565,100,88,1,16,19,0,95,106.6,56
594945,100,87,1,17,17,0,77,160.4,70.5
518851,100,87,1,45,136,0,84,154.4,67.8
150809,100,88,1,17,30,0,96,95.7,47.4
96275,100,95,1,14,15,0,89,134.4,55.6
66073,100,93,1,14,0,0,89,127.1,60.2
88745,100,93,1,14,0,0,79,157.2,65.4
95490,100,93,1,16,27,0,98,103.6,46.6
138439,100,92,1,17,26,0,94,111,49.9
13001,100,93,1,17,1,0,NA,89.4,28.5
129560,100,97,1,12,57,0,79,144.5,67.6
314195,100,98,1,30,140,0,70,218.3,84.4
182000,100,107,3,12,104,0,NA,99.7,35.6
59488,80,91,1,16,28,0,92,113,69.8
81763,100,72,1,10,17,0,91,128,68.1
207895,90,91,1,17,45,0,100,35.7,11.4
154100,100,91,1,18,123,0,92,114,62.2
117520,100,92,1,20,65,0,NA,147.2,71.7
181568,100,111,1,12,84,0,84,159.9,75.2
74000,100,107,1,12,15,0,84,120.3,52.7
