"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
3500,100,42,2,32,271,266,NA,141.4,83.7
9378,100,31,1,12,77,71,81,121.7,62.5
11000,100,32,1,8,110,108,72,119.3,75.8
12096,100,31,1,13,170,166,NA,170.6,89.1
6000,100,77,2,6,56,48,15,142,82.3
6363,100,50,1,27,202,199,89,103.6,63.9
7700,100,105,1,7,47,43,89,113.2,82.5
5200,100,92,1,5,129,128,59,132,60.3
4500,100,85,1,13,77,76,NA,109.5,61.6
9375,100,114,1,7,12,0,15,261.6,129.8
9340,100,86,1,19,233,224,NA,88.9,59.2
31600,100,30,1,20,355,354,NA,124.9,68.2
6734,100,31,1,14,143,142,43,132.6,82.4
1013,100,103,1,12,95,92,NA,105.4,63.4
