"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI"
32000,100,71,1,7,54,0,48,218.3,69.5
54000,100,51,7,2,1,0,7,584.3,556.4
53000,100,87,2,1,6,0,65,56.7,38.6
148700,100,57,2,1,1,0,98,53.6,39.6
221187,100,63,2,5,16,0,83,42.6,21.9
287240,100,63,1,5,14,0,87,39.4,20.9
54703,100,11,1,2,1,0,54,46.3,18.8
7000,100,56,2,1,1,0,NA,175.1,87.8
17900,100,30,1,2,1,0,NA,76.7,35.4
56890,100,29,1,2,1,0,92,38.9,32
39388,100,30,1,2,1,0,NA,76.1,31.7
64350,100,47,1,2,1,0,78,73.2,42.4
2700,100,46,1,2,1,0,NA,434.9,285
57600,100,47,1,2,5,0,6,161.7,85.2
54500,100,36,1,2,1,0,79,107.3,101.7
49800,100,53,1,2,9,0,87,71.3,67.3
131491,100,3,1,1,4,0,93,47,44.3
71475,100,15,1,1,1,0,16,153.5,72.2
71036,100,15,1,1,1,0,78,90,29
66128,100,15,2,2,1,0,61,165.1,64.3
25200,100,18,3,5,1,0,75,176,64
86850,100,31,1,1,1,0,20,121.8,74
76000,80,61,1,4,4,0,93,25.3,9.4
61000,100,105,1,3,1,0,NA,15.7,7.1
15000,90,53,2,1,1,0,100,293.8,110.4
68300,100,20,1,3,2,1,53,27.4,12.1
215365,100,93,2,7,1,0,100,16.5,7.3
33200,100,57,1,4,1,0,3,499.2,195.8
36300,100,8,1,2,1,0,NA,56.4,21.5
84767,100,8,5,4,1,0,80,40.7,17.1
62800,100,12,1,2,1,0,74,34.6,15
19250,100,33,1,1,1,0,NA,334.5,132.8
