"parcelId","BuildingType","PrimaryPropertyType","LargestPropertyUseType","YearBuilt","NumberofBuildings","NumberofFloors","SourceEUI","PropertyGFATotal","ENERGYSTARScore","SiteEnergyUse","Building Quality","Construction Class","Elevators","Heating System","Shape","Sprinklers"
"3573200845","NonResidential","Warehouse","Non-Refrigerated Warehouse",1960,1,1,148.5,53550,"11",4590246.5,"AVERAGE","MASONRY",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
"3573200895","NonResidential","Warehouse","Non-Refrigerated Warehouse",1924,1,1,64.80000305,38412,"62",1628540,"AVERAGE","MASONRY",NA,"NO HEAT","Rect or Slight Irreg","Yes"
"5084400170","NonResidential","Warehouse","Non-Refrigerated Warehouse",1966,1,1,109.0999985,36544,"5",1269847.75,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Very Irreg","No"
"7666202915","NonResidential","Warehouse","Non-Refrigerated Warehouse",1949,1,1,108.6999969,20796,NA,1324092.125,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","No"
"7666202991","NonResidential","Warehouse","Non-Refrigerated Warehouse",1936,1,1,34,38630,"33",416885.5938,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666203000","NonResidential","Warehouse","Non-Refrigerated Warehouse",1950,1,1,123.4000015,20724,"NULL",1832031.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666203180","NonResidential","Refrigerated Warehouse","Refrigerated Warehouse",1955,1,1,497.5,25375,NA,4069301.5,"AVERAGE","MASONRY",NA,"SPACE HEATERS","Rect or Slight Irreg","Yes"
"7666203240","Nonresidential COS","Warehouse","Non-Refrigerated Warehouse",1985,1,1,73.09999847,22803,"78",764094.5,"AVERAGE","REINFORCED CONCRETE",NA,"WARMED AND COOLED AIR","Rect or Slight Irreg","Yes"
"7666203245","NonResidential","Refrigerated Warehouse","Refrigerated Warehouse",1951,1,1,48.59999847,41550,"94",642645.1875,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","Yes"
"7666203360","NonResidential","Warehouse","Non-Refrigerated Warehouse",1937,1,1,37.79999924,52325,"67",808968.1875,"AVERAGE","MASONRY",NA,"HOT WATER","Rect or Slight Irreg","No"
"7666203485","NonResidential","Warehouse","Non-Refrigerated Warehouse",1960,1,1,31.39999962,45842,"99",819354.625,"AVERAGE","WOOD FRAME",NA,"FORCED AIR UNIT","Rect or Slight Irreg","Yes"
