"SqFt","OpenHours","WorkersCnt","ComputersCnt","IsBank","CooledPercent","CDD65"
11000,50,49,90,"No",100,470
6700,40,13,26,"No",75,2215
128000,50,250,375,"No",100,942
215000,68,800,887,"No",80,900
230000,61,600,1075,"No",90,1609
4000,60,10,15,"No",100,2097
7000,40,10,16,"No",60,224
37500,50,150,225,"No",100,3850
14000,50,20,25,"No",100,3121
6600,50,5,11,"No",33,651
2500,60,8,12,"No",100,664
5200,80,9,10,"No",15,3190
7100,45,23,18,"No",100,2077
120000,64,312,588,"No",99,1428
5000,60,3,16,"No",100,3845
46500,75,75,83,"No",100,1144
99000,60,250,255,"No",100,1047
215000,55,625,970,"No",90,641
420000,60,425,542,"No",100,629
26000,50,76,23,"No",75,2686
106000,50,300,500,"No",100,1847
2e+05,40,525,733,"No",100,475
110000,64,175,175,"No",95,2060
120000,40,420,275,"No",100,124
1700,48,4,4,"No",100,230
8e+05,62,1534,1653,"No",100,3488
17750,168,20,100,"No",80,1842
17000,40,33,35,"No",100,2116
97000,55,150,164,"No",100,1239
2500,49,10,13,"No",100,3023
1800,52,4,5,"No",100,1690
4000,40,9,10,"No",100,559
230000,40,450,1525,"No",90,470
25001,100,50,105,"No",100,1073
1200,40,2,3,"No",100,1607
186000,168,312,905,"No",100,1706
8200,42,20,21,"Yes",100,831
95000,55,175,710,"No",100,1348
17750,45,55,90,"No",100,1773
2500,50,6,3,"No",100,2702
5200,45,8,11,"No",100,1754
65000,40,60,11,"No",75,1052
6700,96,16,26,"No",80,1998
66000,50,175,310,"No",85,1287
7500,50,20,25,"No",75,645
2500,50,7,15,"No",100,1192
43500,168,20,60,"No",100,1681
450000,168,1500,2350,"No",85,2090
3e+05,55,550,852,"No",100,1602
325000,98,425,386,"No",100,2761
41500,60,80,96,"No",100,1146
3000,168,3,3,"No",100,3815
10750,50,11,19,"No",100,819
500001,55,400,662,"No",92,2081
2500,51,3,5,"No",100,1929
370000,72,800,1321,"No",90,3352
1550,50,4,6,"No",100,1422
14500,40,19,11,"No",50,1286
164000,60,502,547,"No",95,439
16000,40,31,39,"No",100,722
1400,84,7,12,"No",100,768
43500,40,150,153,"No",98,3365
6300,35,6,4,"No",100,913
1600,50,4,6,"No",100,1603
76000,90,60,40,"No",75,817
33500,60,17,21,"No",100,1218
5000,40,4,7,"No",100,3463
112000,168,700,848,"No",100,3479
6300,37,6,16,"No",100,1487
1750,40,3,6,"No",75,1896
96000,45,500,910,"No",100,120
4500,40,7,15,"No",100,1916
250000,55,250,950,"No",98,1247
6e+05,168,120,172,"No",90,2303
1100,51,3,4,"No",100,2001
4500,70,6,4,"No",100,1627
100001,60,600,765,"No",100,510
3000,49,8,8,"Yes",100,2268
1600,42,6,9,"No",100,2577
7e+05,65,3000,4545,"No",80,1305
2000,57,4,4,"No",100,2260
11000,40,17,21,"No",100,469
25000,40,100,126,"No",75,1600
12000,50,40,99,"No",75,1384
7e+05,40,2100,1272,"No",100,1239
75000,67,100,233,"No",90,3884
160000,40,175,132,"No",100,14
7e+05,65,2200,2450,"No",98,1318
2750,50,3,7,"Yes",100,144
1700,40,3,3,"No",100,902
5000,40,20,43,"No",100,2153
4500,45,5,2,"No",100,1144
6e+05,67,925,1009,"No",100,1211
150000,168,500,450,"No",99,990
1500,35,1,3,"No",100,1639
25001,60,60,296,"No",100,529
28000,168,200,280,"No",100,1888
6000,40,17,17,"No",75,3920
2400,60,3,5,"Yes",75,715
7e+05,66,500,790,"No",75,1162
22000,40,24,28,"No",100,54
59000,50,187,215,"No",100,500
2200,52,5,5,"No",100,3376
102000,85,200,245,"No",100,1021
310000,76,1279,2255,"No",95,1670
68000,168,150,121,"No",100,955
39500,55,75,59,"No",95,2313
6000,60,12,16,"No",100,2647
6100,168,4,8,"No",90,3710
40000,45,25,44,"No",80,1529
1700,40,2,4,"No",100,1211
12250,50,12,50,"Yes",70,2258
5500,47,18,23,"No",100,1488
36500,50,60,68,"No",66,754
158000,60,130,460,"No",100,795
24000,60,20,60,"Yes",100,1295
14000,60,17,15,"No",40,2997
5700,44,26,22,"No",100,1367
42000,50,30,48,"No",80,1885
4150,40,2,5,"No",80,1314
45000,40,20,110,"No",100,394
170000,55,380,423,"No",100,3806
180000,64,250,556,"No",90,1247
3000,54,7,13,"Yes",100,1800
2e+05,55,650,1288,"No",100,880
55000,45,175,178,"No",85,653
4000,54,1,2,"No",100,642
96000,168,600,1000,"No",100,3198
345000,59,1100,1420,"No",100,3258
27000,50,3,8,"No",33,1172
14250,48,27,29,"No",100,999
48500,168,100,120,"No",100,914
4400,40,12,14,"Yes",100,986
45000,40,62,91,"No",100,419
60000,85,150,200,"No",100,1202
58000,50,93,27,"No",70,131
5000,60,10,8,"No",100,1827
61000,60,175,83,"No",100,683
2400,48,3,8,"No",30,1892
2000,40,3,4,"No",100,963
97000,50,300,400,"No",100,1717
45000,40,40,137,"No",75,1187
3200,36,5,8,"Yes",100,1271
39500,40,40,45,"No",100,1802
4350,50,15,10,"No",100,3675
2950,44,2,7,"No",100,1546
32000,40,70,121,"No",100,913
6100,40,3,4,"No",66,3611
7e+05,80,1509,1870,"No",90,1254
116000,40,400,455,"No",100,1037
34000,45,48,35,"No",100,1124
225000,168,1100,620,"No",90,1001
76000,55,177,218,"No",100,1585
