Building ID,Address,Zip,Cohort - Sector,Cohort - Size,Verification Year,Community Area Name,Community Area Number,Ward,Latitude,Longitude,Location
175910,4432 4444 W WESTEND AVE,60624,Residential,"50,000 - 250,000 Sq Ft",2018,WEST GARFIELD PARK,26,28,41.8808242,-87.72327934,"(41.8808242, -87.72327934)"
173722,1632 1638 N HUDSON AVE,60614,Residential,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
105014,5416 5422 N KENMORE AVE,60640,Residential,"50,000 - 250,000 Sq Ft",2018,EDGEWATER,77,48,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
158158,61 67 E HARRISON ST,60605,Residential,"50,000 - 250,000 Sq Ft",2018,LOOP,32,42,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
175860,2518 2532 N LINCOLN AVE,60614,Residential,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
136830,3400 3428 S INDIANA AVE,60616,Residential,"50,000 - 250,000 Sq Ft",2018,DOUGLAS,35,3,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
173811,3620 N. Pine Grove Ave,60613,Residential,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,46,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
147816,6101 6111 N CLARK ST,60660,Residential,"50,000 - 250,000 Sq Ft",2018,EDGEWATER,77,48,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
147871,4418 4424 N CLARK ST,60640,Residential,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,47,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
116552,4001 4013 S ELLIS AVE,60653,Residential,"50,000 - 250,000 Sq Ft",2018,OAKLAND,36,4,41.82021138,-87.61246867,"(41.82021138, -87.61246867)"
128007,7248 7256 N WESTERN AVE,60645,Residential,"50,000 - 250,000 Sq Ft",2018,WEST RIDGE,2,50,42.00880199,-87.69502812,"(42.00880199, -87.69502812)"
135740,211 221 W LAKE ST,60606,Residential,"50,000 - 250,000 Sq Ft",2018,LOOP,32,42,41.88232323,-87.63709616,"(41.88232323, -87.63709616)"
104267,912 932 W GORDON TER,60613,Residential,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,46,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
120491,228 236 W WASHINGTON ST,60606,Residential,"50,000 - 250,000 Sq Ft",2018,LOOP,32,42,41.88232323,-87.63709616,"(41.88232323, -87.63709616)"
144123,5726 5744 S DR MARTIN LUTHER KING JR DR,60637,Residential,"50,000 - 250,000 Sq Ft",2018,WASHINGTON PARK,40,20,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
148904,3727 3741 N MILWAUKEE AVE,60641,Residential,"50,000 - 250,000 Sq Ft",2018,Irving Park,16,45,41.9461514,-87.74708,"(41.9461514, -87.74708)"
152408,735 745 W GARFIELD BLVD,60621,Residential,"50,000 - 250,000 Sq Ft",2018,ENGLEWOOD,68,20,41.7761313,-87.64068948,"(41.7761313, -87.64068948)"
173721,2715 2745 N LAKEWOOD AVE,60614,Residential,"50,000 - 250,000 Sq Ft",2018,LINCOLN PARK,7,43,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
113593,1335 1343 N ASTOR ST,60610,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,43,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
158596,4025 4041 N KEDVALE AVE,60641,Residential,"50,000 - 250,000 Sq Ft",2018,IRVING PARK,16,39,41.94615136,-87.74707694,"(41.94615136, -87.74707694)"
172051,6308 6320 S KEDZIE AVE,60629,Residential,"50,000 - 250,000 Sq Ft",2018,CHICAGO LAWN,66,17,41.77517105,-87.71389848,"(41.77517105, -87.71389848)"
172119,858 866 N CLARK ST,60610,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,2,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
173660,330 360 E OHIO ST,60611,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,42,41.89579275,-87.62247957,"(41.89579275, -87.62247957)"
173494,5350 5358 N DELPHIA AVE,60656,Residential,"50,000 - 250,000 Sq Ft",2018,OHARE,76,41,41.97087009,-87.79892589,"(41.97087009, -87.79892589)"
138293,4617 4625 N SHERIDAN RD,60640,Residential,"50,000 - 250,000 Sq Ft",2018,UPTOWN,3,46,41.97223008,-87.6645957,"(41.97223008, -87.6645957)"
146958,2601 2607 N MILWAUKEE AVE,60647,Residential,"50,000 - 250,000 Sq Ft",2018,LOGAN SQUARE,22,32,41.92075046,-87.70152825,"(41.92075046, -87.70152825)"
139877,2805 2819 N CLARK ST,60657,Residential,"50,000 - 250,000 Sq Ft",2018,LAKE VIEW,6,44,41.9398511,-87.65844752,"(41.9398511, -87.65844752)"
100317,5500 5518 S WABASH AVE,60637,Residential,"50,000 - 250,000 Sq Ft",2018,WASHINGTON PARK,40,20,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
100469,5527 5537 S EVERETT AVE,60637,Residential,"50,000 - 250,000 Sq Ft",2018,HYDE PARK,41,5,41.78046327,-87.6053081,"(41.78046327, -87.6053081)"
100507,4950 4952 S PRAIRIE AVE,60615,Residential,"50,000 - 250,000 Sq Ft",2018,GRAND BOULEVARD,38,3,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
100623,1345 1359 W ESTES AVE,60626,Residential,"50,000 - 250,000 Sq Ft",2018,ROGERS PARK,1,49,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
100770,7419 7425 S COLFAX AVE,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
100984,1604 1610 W SHERWIN AVE,60626,Residential,"50,000 - 250,000 Sq Ft",2018,ROGERS PARK,1,49,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
101177,6901 6921 S PAXTON AVE,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,5,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
101894,7600 7612 S SOUTH SHORE DR,60649,Residential,"50,000 - 250,000 Sq Ft",2018,SOUTH SHORE,43,7,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
102093,551 555 N PINE AVE,60644,Residential,"50,000 - 250,000 Sq Ft",2018,AUSTIN,25,37,41.88039405,-87.75826967,"(41.88039405, -87.75826967)"
102136,5301 5311 W WASHINGTON BLVD,60644,Residential,"50,000 - 250,000 Sq Ft",2018,AUSTIN,25,28,41.88039405,-87.75826967,"(41.88039405, -87.75826967)"
102613,7914 7932 S WABASH AVE,60619,Residential,"50,000 - 250,000 Sq Ft",2018,CHATHAM,44,6,41.74401302,-87.60549928,"(41.74401302, -87.60549928)"
172384,929 939 N HUDSON AVE,60610,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR NORTH SIDE,8,27,41.9037528,-87.63558845,"(41.9037528, -87.63558845)"
172538,2240 2250 S STATE ST,60616,Residential,"50,000 - 250,000 Sq Ft",2018,NEAR SOUTH SIDE,33,3,41.84550365,-87.63055693,"(41.84550365, -87.63055693)"
