"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
28142,1,3,"AVERAGE","MASONRY","STEAM WITHOUT BOILER","Rect or Slight Irreg",117,96,64.19999695,847097.8125,1806716.3141669
28760,1,3,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",117,NA,165.1999969,2615973.5,4751151.910844
39030,1,4,"AVERAGE","MASONRY","STEAM WITHOUT BOILER","Rect or Slight Irreg",115,99,47.70000076,713326.875,1861731.0296628
30720,1,3,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",100,NA,107.3000031,1288669.5,3296256.095232
20897,1,3,"GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",111,NA,148.1999969,964923.8125,3096935.3352193
22866,1,3,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",104,NA,133.1999969,1153690.125,3045751.1291154
35202,1,3,"GOOD","MASONRY","HEAT PUMP","Rect or Slight Irreg",38,2,339.5,3605755.5,11951079
27544,1,3,"AVERAGE","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",100,94,124.0999985,1031667.5,3418210.358684
47415,1,7,"GOOD","REINFORCED CONCRETE","ELECTRIC","Rect or Slight Irreg",28,NA,136.3999939,1478979.25,6467405.7107685
30109,1,3,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",97,89,124.0999985,1465795.75,3736526.8548365
25481,1,2,"GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",57,92,55.79999924,917100.3125,1421839.78063444
27788,1,2,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",105,73,151.8999939,2119806.25,4220997.0304932
27600,1,3,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",95,84,140.3000031,1072151.375,3872280.08556
26694,1,3,"GOOD","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",36,92,90.80000305,720170.6875,2423815.2814167
27966,1,1,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",60,58,164.8000031,1100499.75,4608796.8866946
37639,1,3,"AVERAGE/GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Long Rect or Irreg",19,NA,695.2999878,6197824.5,26170396.2408042
22840,1,4,"AVERAGE","MASONRY","ELECTRIC WALL","Rect or Slight Irreg",117,64,121.1999969,881386.1875,2768207.929196
20880,1,1,"LOW COST","MASONRY","SPACE HEATERS","Rect or Slight Irreg",117,94,102.8000031,683274,2146464.064728
38675,1,3,"GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",117,NA,287.6000061,1938776.75,11122930.2359175
49951,1,4,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",88,NA,175.1999969,5134446,8751415.0451519
