PropertyId,PropertyName,BBL10digits,PostalCode,StreetNumber,StreetName,Borough_ll84,DOFGrossFloorArea,PrimaryPropertyTypeSelfSelected,ListofAllPropertyUseTypesatProperty,LargestPropertyUseType,LargestPropertyUseTypeGrossFloorArea,X2ndLargestPropertyUseType,X2ndLargestPropertyUseGrossFloorArea,X3rdLargestPropertyUseType,X3rdLargestPropertyUseTypeGrossFloorArea,YearBuilt_ll84,NumberofBuildingsSelfreported,Occupancy,MeteredAreas.Energy.,ENERGYSTARScore,WeatherNormalizedSiteElectricity_kWh,SourceEUI,SiteEUI,BBL,Borough_pluto,Block,Lot,ZipCode,Address,LandUse,BldgArea,BldgClass,AssessTot,AssessLand,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt_pluto,YearAlter1,YearAlter2,BldgFront,BldgDepth
2737410,3200 Netherland Ave,2057870130,10463,3200,NETHERLAND AVENUE,Bronx,88470,Multifamily Housing,Multifamily Housing,Multifamily Housing,103215,,,,,1957,1,100,Whole Building,93,285708.1,84.1,60.9,2057870130,BX,5787,130,10463,3200 NETHERLAND AVENUE,3,88470,D4,1660050,216000,27325,1,6,80,80,0,88470,1957,0,0,139.5,139.67
2669079,3220 Netherland Avenue,2057870137,10463,3220,NETHERLAND AVENUE,Bronx,100498,Multifamily Housing,Multifamily Housing,Multifamily Housing,100488,,,,,1954,1,100,Whole Building,93,342495.1,88.1,62,2057870137,BX,5787,137,10463,3220 NETHERLAND AVENUE,3,100498,D1,2807100,374850,23800,1,6,85,85,5845,94653,1954,0,0,237,72.5
2736628,3260 Netherland Avenue,2057870148,10463,3260,NETHERLAND AVENUE,Bronx,51000,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,44040,Parking,6960,,,1949,1,100,Whole Building,65,213094.7,127.5,88.1,2057870148,BX,5787,148,10463,3260 NETHERLAND AVENUE,3,51000,D4,1102500,236250,22500,2,6,54,54,0,51000,1950,0,0,121,64
3129668,3300 Netherland,2057870154,10463,3300,NETHERLAND AVENUE,Bronx,81880,Multifamily Housing,Multifamily Housing,Multifamily Housing,83250,,,,,1941,1,100,Whole Building,97,,79.2,57.8,2057870154,BX,5787,154,10463,3300 NETHERLAND AVENUE,4,81880,D7,2311200,337500,15000,1,6,67,66,880,81000,1941,0,0,150,90
4382862,Hudson House,2057870169,10463,3247,JOHNSON AVENUE,Bronx,56148,Multifamily Housing,Multifamily Housing,Multifamily Housing,56148,,,,,1999,1,100,Whole Building,86,233741.3,95.1,62.3,2057870169,BX,5787,169,10463,3247 JOHNSON AVENUE,8,56148,I7,4532850,139500,12600,1,7,59,59,56148,0,1999,0,0,126,60
2903983,3225 Johnson Ave.,2057870177,10463,3225,JOHNSON AVENUE,Bronx,60928,Multifamily Housing,Multifamily Housing,Multifamily Housing,60928,,,,,1970,1,100,Whole Building,80,240537.6,102.4,69.1,2057870177,BX,5787,177,10463,3225 JOHNSON AVENUE,3,60928,D4,1163700,207000,19875,1,6,60,60,0,60928,1970,0,0,174,57.17
2678468,3210 Arlington Ave.,2057880074,10463,3210,ARLINGTON AVENUE,Bronx,80735,Multifamily Housing,Multifamily Housing,Multifamily Housing,80000,,,,,1955,1,100,Whole Building,87,309762.4,109.1,77,2057880074,BX,5788,74,10463,3210 ARLINGTON AVENUE,3,80735,D4,1305450,243000,20000,1,6,67,67,0,80735,1955,0,0,175,83
2774311,3215 Netherland Ave Owners Ltd,2057880119,10463,3215,NETHERLAND AVENUE,Bronx,75000,Multifamily Housing,Multifamily Housing,Multifamily Housing,80000,,,,,1939,1,100,Whole Building,100,232235.9,76.6,52.8,2057880119,BX,5788,119,10463,3215 NETHERLAND AVENUE,3,75000,D4,1368450,315000,20000,1,6,49,49,0,75000,1939,0,0,141.67,81.5
3092902,3220 Arlington Avenue,2057887501,104712128,3220,ARLINGTON AVENUE,Bronx,121472,Multifamily Housing,"Multifamily Housing, Pre-school/Daycare",Multifamily Housing,65256,Pre-school/Daycare,10000,,,2008,1,100,Whole Building,6,818594.8,172,89.9,2057887501,BX,5788,7501,10463,3220 ARLINGTON AVENUE,4,74467,RM,5222739,248400,18411,1,13,35,26,20001,54466,2004,0,0,100,81
2683130,3206 Fairfield Avenue,2057890015,10463,3206,FAIRFIELD AVENUE,Bronx,59352,Multifamily Housing,Multifamily Housing,Multifamily Housing,59352,,,,,1954,1,100,Whole Building,65,211365,115.6,85.4,2057890015,BX,5789,15,10463,3206 FAIRFIELD AVENUE,3,59352,D4,1485000,135000,12860,1,6,56,56,0,59352,1954,0,0,88,127
