SourceEUI,YearAlter1,LandUse,BBL,logkBTU,DOF_Property_Area,BldgClass,AssessTot,AssessLand,BldgArea,LotArea,NumBldgs,NumFloors,UnitsTotal,UnitsRes,ComArea,ResArea,YearBuilt,BldgFront,BldgDepth,AreaUnitPrice
175.5,2004,4,1000787507,16.658298448822,97798,RM,11428651,2060999,97798,10551,1,13,74,73,7804,89994,1909,122,90,116.85976195832225
113.5,1999,3,1000790010,16.3146554035164,107243,D8,14242500,1570500,107243,10060,1,15,114,111,5721,101522,1920,78,135,132.8058707794448
258.5,2004,4,1000797502,16.8380305648827,79470,RM,8971653,1530004,56789,6065,1,13,23,21,10294,46495,1900,57,110,157.98223247459896
116.4,1985,5,1000800001,18.6240543139015,1052861,O3,81746550,1242e4,1052861,36775,1,29,1,0,1052861,0,1916,6414.25,275.58,77.6423003606364
236.6,0,5,1000840036,19.7741357476891,1636e3,O4,243548100,1512e4,1636e3,47250,1,52,2,0,1636e3,0,2003,200,200,148.86803178484107
156.8,1964,5,1000860001,19.0140251448771,1154357,O7,86113350,16965e3,1154357,75460,1,15,1,0,1154357,0,1935,200,372,74.59854273851157
175.1,1987,5,1000880005,16.4588572323162,80298,O3,4484250,1368e3,80298,6923,1,13,35,0,80298,0,1907,74,101,55.84510199506837
168.8,0,3,1000880014,18.3112318823859,531e3,D8,65363850,1876500,531e3,10077,1,59,402,396,31e3,5e5,2006,150,62,123.09576271186441
195,0,5,1000880018,18.3562706945619,480831,O4,28641600,7695e3,480831,16409,1,44,146,0,480831,0,1927,101,164,59.566874847919536
261.6,2013,5,1000890012,19.1027957977689,756138,O4,65397150,2025e4,756138,33340,1,31,0,0,756138,0,1961,140,228,86.48837910540139
143,0,4,1000907501,17.708330356408,343e3,RM,28187999,4992299,336447,12850,1,29,243,240,146163,190284,1896,,,83.78139498940398
141.1,2007,4,1000917502,17.2563501761058,221213,RM,22143594,4050884,176514,23298,1,10,168,163,23799,152715,1940,196.17,118.5,125.44950542166627
