"Total.gross.floor.area","Total.number.of.units","Unit.Density","Bedrooms.Unit","Number.of.BRs","CDD","HDD","Building.Type.Property.Level","Total.SOURCE.kBtu","Total.SITE.kBtu","Source.EUI.using.Total.gross.floor.area","Site.EUIusing.Total.gross.floor.area","Survey.Weights.for.ENERGY.STAR.score.analysis"
133749,135,1.01,1.3,173,1272,4423,"High-rise",15819595,7819519,118.3,58.5,79.26
154506,135,0.87,1.2,167,1272,4423,"High-rise",21857188,13499834,141.5,87.4,79.26
283235,136,0.48,1.9,252,1272,4423,"High-rise",34981016,14525251,123.5,51.3,79.26
88198,136,1.54,1.1,144,1272,4423,"High-rise",11752350,7631385,133.2,86.5,79.26
145446,140,0.96,1.6,224,1536,4312,"Mid-rise",13528391,9173304,93,63.1,79.26
155685,142,0.91,1.1,155,1272,4423,"High-rise",14261591,9595962,91.6,61.6,79.26
113128,143,1.26,1.4,198,1272,4423,"High-rise",15072408,9747433,133.2,86.2,79.26
95720,144,1.5,1,144,2609,1984,"High-rise",17261505,6737499,180.3,70.4,469.3
133000,145,1.09,1,145,431,3141,"Low-rise",12958732,6556908,97.4,49.3,469.3
127800,145,1.13,1.2,168,1536,4312,"High-rise",25115283,17414414,196.5,136.3,79.26
110566,145,1.31,1,145,529,5741,"High-rise",16922258,8805153,153.1,79.6,79.26
146600,146,1,1.2,170,1272,4423,"High-rise",13874253,9231662,94.6,63,79.26
167734,146,0.87,1.1,155,847,4954,"High-rise",16848433,9916409,100.4,59.1,79.26
92345,149,1.61,1,156,1027,5765,"Low-rise",15093863,7129572,163.5,77.2,469.3
146725,150,1.02,1.9,290,2979,1650,"Low-rise",20763476,6695055,141.5,45.6,469.3
116400,150,1.29,1,151,1061,5751,"High-rise",14048298,7940206,120.7,68.2,469.3
115240,151,1.31,1,151,796,5332,"High-rise",14901495,5593347,129.3,48.5,469.3
96500,152,1.58,1,152,100,5094,"High-rise",9593020,5848950,99.4,60.6,469.3
131417,152,1.16,1.1,160,822,5437,"High-rise",20360661,12322440,154.9,93.8,469.3
190159,156,0.82,1.4,216,1165,4570,"Mid-rise",16246812,14065696,85.4,74,79.26
134673,161,1.2,1.8,289,1536,4312,"Low-rise",16668588,10871464,123.8,80.7,79.26
149697,161,1.08,1.2,193,100,5094,"Mid-rise",15529183,6553747,103.7,43.8,469.3
232767,162,0.7,1,162,690,6350,"High-rise",11723873,7264553,50.4,31.2,79.26
136944,163,1.19,1.1,174,1272,4423,"Mid-rise",19367874,13167239,141.4,96.2,79.26
268146,165,0.62,1.9,319,1535,4200,"Low-rise",8462247,7018047,31.6,26.2,469.3
127800,165,1.29,1.1,187,1536,4312,"High-rise",22428605,15477774,175.5,121.1,79.26
127470,168,1.32,1.4,240,3036,1849,"Low-rise",20345859,8865479,159.6,69.5,469.3
210105,168,0.8,1.7,291,737,6292,"Mid-rise",27904366,15428712,132.8,73.4,79.26
150000,169,1.13,1,170,1061,5751,"High-rise",25229044,11856572,168.2,79,469.3
234901,172,0.73,1,172,1633,5085,"Low-rise",36191623,11525995,154.1,49.1,469.3
157827,172,1.09,1.2,199,100,5094,"Mid-rise",18411013,8013923,116.7,50.8,469.3
169865,174,1.02,1,175,1272,4423,"Mid-rise",14424449,8332253,84.9,49.1,79.26
315078,175,0.56,1.8,314,1272,4423,"High-rise",30144870,19789914,95.7,62.8,79.26
200675,175,0.87,1.4,240,1272,4423,"High-rise",27474207,20273750,136.9,101,79.26
348282,180,0.52,1.9,338,1272,4423,"High-rise",78745906,56179445,226.1,161.3,79.26
356262,180,0.51,1,181,877,5237,"Low-rise",12729187,7596141,35.7,21.3,79.26
179380,185,1.03,1.3,243,1322,3950,"Mid-rise",27145030,16804768,151.3,93.7,469.3
169183,195,1.15,1,195,100,3289,"High-rise",16269471,7286838,96.2,43.1,469.3
216292,195,0.9,1.5,291,737,6292,"High-rise",25276996,13513219,116.9,62.5,79.26
156430,198,1.27,1.9,370,930,4646,"Mid-rise",30831522,22360187,197.1,142.9,79.26
150232,200,1.33,1.7,332,2957,1879,"Low-rise",24046953,12635084,160.1,84.1,469.3
170124,200,1.18,1,208,511,5299,"Mid-rise",24777837,14463718,145.6,85,79.26
207304,201,0.97,1.2,242,136,3150,"Low-rise",13956840,7549279,67.3,36.4,469.3
176112,202,1.15,1,203,1961,4225,"Low-rise",24418667,7776645,138.7,44.2,469.3
199925,204,1.02,1.5,298,851,5371,"Low-rise",18589519,10788492,93,54,79.26
144000,208,1.44,1,208,1621,4334,"High-rise",22963909,11202485,159.5,77.8,469.3
299120,208,0.7,1.3,263,100,5094,"High-rise",28352845,13530902,94.8,45.2,469.3
209672,213,1.02,1.2,259,1272,4423,"High-rise",32412021,17610809,154.6,84,79.26
165436,214,1.29,1.1,242,1272,4423,"Mid-rise",19605326,12935617,118.5,78.2,79.26
127625,215,1.68,1,215,2138,2821,"High-rise",29880004,10419430,234.1,81.6,469.3
277155,216,0.78,1.5,326,1272,4423,"High-rise",32901900,20912205,118.7,75.5,79.26
220338,217,0.98,1.7,376,1642,3932,"High-rise",32706412,20384022,148.4,92.5,469.3
304954,224,0.73,1,224,1535,4200,"High-rise",22349516,11275786,73.3,37,469.3
117884,228,1.93,1.7,383,1165,4570,"Mid-rise",18793082,15248434,159.4,129.4,79.26
140000,228,1.63,1,228,1338,4697,"High-rise",25932412,22405569,185.2,160,79.26
316769,229,0.72,1.4,320,3548,2226,"High-rise",56269132,19327924,177.6,61,469.3
225400,230,1.02,1.4,324,1535,4200,"Low-rise",29821044,9497148,132.3,42.1,79.26
256969,230,0.9,1.3,307,1272,4423,"High-rise",34003945,19658999,132.3,76.5,79.26
322804,236,0.73,2.3,544,1467,4329,"Mid-rise",46120436,32818136,142.9,101.7,79.26
236350,240,1.02,1.1,255,1272,4423,"High-rise",22145382,16947465,93.7,71.7,79.26
230198,242,1.05,1.6,376,1536,4312,"Mid-rise",6633211,3007993,28.8,13.1,79.26
291205,242,0.83,1.302,315,1272,4423,"High-rise",32222959,18811387,110.7,64.6,79.26
495489,249,0.5,1.9,478,1272,4423,"High-rise",60762393,36024915,122.6,72.7,79.26
361767,254,0.7,1.1,279,1272,4423,"High-rise",43562655,26556762,120.4,73.4,79.26
142483,256,1.8,1.1,270,2769,2022,"Low-rise",24683111,9665196,173.2,67.8,469.3
287520,262,0.91,1.7,442,1447,4331,"Low-rise",28539982,9109590,99.3,31.7,469.3
259600,266,1.02,1.1,283,511,5299,"Mid-rise",30096370,17903057,115.9,69,79.26
333505,274,0.82,1.6,429,1272,4423,"High-rise",59173515,33114776,177.4,99.3,79.26
304071,288,0.95,1.2,336,1272,4423,"High-rise",29299741,11170446,96.4,36.7,79.26
