"GFA","Occupancy","Age","NumBldgs","NumFloors","UnitsTotal","UnitsRes","ENERGYSTARScore","SourceEUI","SiteEUI","SiteEnergy","SourceEnergy"
8334,100,10,1,7,71,70,1,271.8,210.9,1757640.6,2265181.2
6369,100,12,1,8,125,124,90,93.6,36.3,231194.7,596138.4
3805,100,107,1,6,78,71,NA,187.2,152.3,579501.5,712296
91140,100,104,1,4,21,0,96,108.8,34.7,3162558,9916032
2500,100,97,1,5,86,84,NA,143.5,96,240000,358750
58418,100,54,1,9,6,0,76,160.9,100.3,5859325.4,9399456.2
382931,100,87,1,8,4,0,94,120.8,87.4,33468169.4,46258064.8
1024,100,90,1,6,111,111,NA,55.1,35.2,36044.8,56422.4
12893,80,90,1,6,48,48,NA,68.1,61.4,791630.2,878013.3
4577,100,11,1,7,129,128,NA,142,91.5,418795.5,649934
1623,100,6,1,7,66,64,NA,95.8,42,68166,155483.4
370805,100,31,2,12,35,0,88,234.9,86.8,32185874,87102094.5
6858,100,5,3,6,80,80,87,125.1,68.4,469087.2,857935.8
47146,100,13,1,4,73,0,NA,265.9,111.7,5266208.2,12536121.4
34500,100,95,1,4,8,0,NA,331,135.6,4678200,11419500
84385,100,90,1,6,80,80,80,120.5,87.7,7400564.5,10168392.5
59000,100,90,1,2,5,0,89,123.5,44.8,2643200,7286500
118423,100,4,1,2,1,0,82,159.3,64.4,7626441.2,18864783.9
6505,100,17,1,8,92,90,34,158,97.6,634888,1027790
91614,100,51,1,5,1,0,67,191.1,108.3,9921796.2,17507435.4
83728,100,17,1,6,83,78,70,141.8,101.8,8523510.4,11872630.4
4275,100,62,1,8,88,87,NA,99.7,78.2,334305,426217.5
6700,100,16,1,1,1,0,29,128,50.8,340360,857600
10000,100,56,1,2,4,1,NA,148.3,85,850000,1483000
113644,100,53,1,1,9,0,50,239.1,94.1,10693900.4,27172280.4
1050,100,52,2,21,459,459,NA,134.5,94.2,98910,141225
2113,100,101,3,5,140,126,NA,38.8,21.5,45429.5,81984.4
2500,100,27,1,1,1,0,NA,121.8,53.4,133500,304500
60000,100,45,2,3,1,0,46,230.8,82.8,4968000,13848000
11616,100,76,5,9,2141,2121,NA,131.6,92.1,1069833.6,1528665.6
11938,100,76,1,9,2719,2659,48,134.4,95.5,1140079,1604467.2
53275,100,58,1,2,10,0,99,72.5,32,1704800,3862437.5
560000,100,10,1,13,4,0,24,424.8,190.9,106904000,237888000
230000,100,51,2,8,3,0,18,372.4,159.8,36754000,85652000
26136,100,90,1,2,7,0,NA,121.9,53.2,1390435.2,3185978.4
564653,100,48,3,2,27,0,100,30.6,26.8,15132700.4,17278381.8
311551,100,48,1,6,1,0,100,30.6,26.8,8349566.8,9533460.6
311551,100,48,1,6,1,0,100,30.6,26.8,8349566.8,9533460.6
12000,100,28,1,2,5,0,60,151,56.6,679200,1812000
23000,100,8,1,3,1,0,10,224,129.3,2973900,5152000
9741,100,34,2,1,1,0,92,102.8,32.7,318530.7,1001374.8
5564,100,47,2,1,1,0,59,127.8,63.4,352757.6,711079.2
21600,100,8,1,10,51,48,65,150.5,71.3,1540080,3250800
113270,100,30,1,8,116,116,95,109.7,69.7,7894919,12425719
11886,100,57,1,6,103,102,78,99.4,70.5,837963,1181468.4
89250,100,109,1,7,95,94,90,111,53,4730250,9906750
464175,100,105,3,12,0,0,94,123.2,50.4,23394420,57186360
349059,100,109,1,9,8,0,98,101.8,41.8,14590666.2,35534206.2
