PBAPLUS,MFBTU,FINALWT,ONEACT,ACT1,ACT2,ACT3,ACT1PCT,ACT2PCT,ACT3PCT,PRAMTC,PRUNIT,CWUSED,WOUSED,COUSED,SOUSED,SQFT,NFLOOR,NELVTR,NESLTR,EDSEAT,COURT,MONUSE,OPNWE,WKHRS,NWKER,COOK,HEATP,COOLP,SNACK,FASTFD,CAF,FDPREP,KITCHN,BREAKRM,OTFDRM,LABEQP,POOL,HTPOOL,RFGRES,RFGCOMPN,RFGWIN,RFGOPN,RFGCLN,RFGVNN,RFGICN,PCTERMN,LAPTPN,PRNTRN,SERVERN,TRNGRM,STDNRM,WBOARDS,TVVIDEON,RGSTRN,COPIERN,HDD65,CDD65,EUI
28,19323724,125.65044,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,176000,3,2,NA,600,NA,12,1,80,100,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,2,4,NA,200,50,4,1,1,2,1,2,NA,1,7155,861,109.8
28,10838270,84.58932707,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,63000,1,NA,NA,800,NA,12,2,80,33,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,1,2,3,2,NA,1,98,6,28,0,1,2,1,2,3,1,3622,1285,172
28,4400683,653.05875273,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,54000,1,NA,NA,600,NA,12,2,40,40,1,100,100,2,2,1,1,2,2,2,2,2,NA,1,NA,2,NA,2,NA,NA,300,0,50,1,2,1,1,3,1,2,3536,1450,81.5
28,2381592,242.08690218,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,78000,2,1,NA,500,NA,12,2,45,40,1,100,20,2,2,1,1,2,1,2,2,2,NA,2,1,2,NA,1,NA,1,60,5,5,1,2,1,2,10,1,NA,5612,791,30.5
29,6357425,133.33774762,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,108000,1,NA,NA,500,NA,10,1,72,45,1,100,100,1,2,1,2,2,1,2,1,2,NA,1,2,2,NA,1,2,2,250,200,30,2,1,1,1,20,NA,2,4850,847,58.9
29,682226,583.35116997,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,37500,1,NA,NA,200,NA,9,2,50,19,2,100,95,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,3,NA,25,25,3,1,2,2,1,NA,1,2,2132,2146,18.2
29,6007694,583.35116997,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,88000,2,1,NA,600,NA,10,2,60,125,1,100,100,2,2,1,2,2,2,2,2,2,NA,2,NA,2,NA,NA,NA,1,230,50,200,0,2,1,1,50,NA,NA,2138,2028,68.3
28,638512,503.86330813,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,17500,1,NA,NA,225,NA,12,2,40,25,2,100,100,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,25,30,10,0,2,1,1,NA,NA,2,2923,2444,36.5
28,5816401,356.19828827,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,94000,1,NA,NA,600,NA,12,2,60,74,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,2,2,NA,2,2,1,142,294,20,1,1,1,1,20,2,5,2796,1756,61.9
28,9091762,15.945623796,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,178000,3,1,NA,1250,NA,12,2,45,139,1,100,95,2,2,1,1,2,1,2,2,2,NA,1,20,2,4,4,1,2,7,250,6,0,1,1,1,60,3,4,6456,944,51.1
29,20051365,84.055763395,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,250000,5,1,NA,2000,NA,12,1,73,210,1,100,10,2,2,1,2,2,2,2,1,2,NA,1,45,1,NA,NA,NA,NA,363,850,114,1,1,1,1,15,1,26,4083,1129,80.2
28,2585934,227.79159189,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,90000,2,1,NA,700,NA,10,2,55,40,1,100,100,2,2,1,1,2,2,2,2,2,NA,2,20,2,NA,NA,2,1,111,10,33,1,2,1,1,25,1,3,2835,1512,28.7
29,5811461,141.92588364,1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,112000,1,NA,NA,900,NA,9,2,35,45,1,100,100,2,2,1,1,2,1,2,2,2,NA,1,10,2,NA,NA,3,1,70,170,6,2,1,1,1,25,2,6,5952,998,51.9
