"NWKER_SQFT","HDD65_HEATP","CDD65_COOLP","IsCooking","IsOpenWeekends","IsHighSchool","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
0.877,3502,1572,"Yes","No","No",126.81,17500299.61,242.087
1.688,5884.55,839,"No","Yes","No",114.26,4399191.65,239.385
0.963,535.8,4030,"Yes","Yes","No",175.49,14389928,171.867
0.508,3584,2106,"Yes","Yes","Yes",223.2,58031890,84.056
0.727,3273,1691.2,"No","No","No",114.1,6275302.6,207.132
0.465,4204.1,984,"Yes","No","No",29.88,6424898.2,239.385
0.462,5163,255.75,"Yes","No","No",137.1,8911559.3,139.17
0.37,5828,1046.7,"Yes","Yes","Yes",123.47,50005117.43,160.426
0.667,5555,1145,"Yes","No","No",112.05,6723147.2,207.132
0.375,5224,112.9,"Yes","No","Yes",156.23,18747618.4,16.829
0.846,3420,2094,"No","No","No",55.67,1447505.5,751.727
0.444,5095.5,12.94,"Yes","No","No",72.76,13096619.2,139.17
0.494,3055,1467,"No","No","No",79.22,6416526.55,209.1
0.179,2454,1890.7,"No","No","Yes",98.45,1648988.25,484.852
0.549,2835,2101,"Yes","No","No",155.17,7060095.7,133.338
0.384,5907,436.4,"Yes","No","No",46.39,1693155.45,653.059
0.987,2870,358.35,"Yes","No","No",134.08,5161916.9,360.218
1.014,5579,303.93,"Yes","No","No",229.72,15850574.25,239.385
1.027,4546,1130,"Yes","Yes","No",117.24,8558180.75,242.087
0.267,7283,458.25,"Yes","No","No",93.4,21015329.3,84.056
0.7,5610,1279,"Yes","No","No",100.93,24223971.8,84.056
1.619,6834,27.2,"Yes","No","No",91.24,2873914.4,360.218
1.231,2925.9,144.9,"Yes","Yes","No",55.75,1449416.15,138.566
0.698,5013,970.9,"Yes","Yes","Yes",104.85,22542103.5,84.056
0.597,5955,814,"No","No","Yes",43.66,2924992,356.198
0.75,1364,1347,"No","No","No",95.03,1900654,316.263
0.682,6835,904.4,"Yes","Yes","Yes",205.6,67846738.05,139.17
1,3945,1136.25,"Yes","No","No",66.74,13348888.8,84.056
0.625,5626,526.4,"Yes","Yes","No",102.38,8190070.35,139.17
1.443,983,3516,"No","No","No",130.91,3174516.8,503.863
0.35,2755,1768,"Yes","No","Yes",126.7,12670166.25,362.07
1.065,4015,1545,"Yes","Yes","No",104.93,8079844.85,242.087
1.471,5056,1017,"Yes","No","No",114.79,3902910.2,139.17
0.444,3621,348,"Yes","No","Yes",198.19,35674400.3,84.056
0.631,6227,966,"Yes","Yes","Yes",153.22,30336910.83,179.596
0.407,5731,69.9,"Yes","No","No",57.93,15931689.2,94.697
0.758,1166,1167,"Yes","Yes","Yes",35.1,6949314.4,139.17
0.726,2942,1901.62,"Yes","No","No",56.23,4104807.7,209.1
0.697,3885.35,1221.5,"No","No","No",44.37,1464156.4,360.218
1.125,4192,171.75,"Yes","Yes","No",128.39,10271003.17,139.17
0.368,4855,1595,"No","Yes","No",140.62,13359204.25,133.338
0.476,3200,1389,"Yes","No","No",147.89,9317091.59,532.964
0.877,4356,1400.85,"Yes","No","No",77.29,8811290.77,84.056
0.833,6379,17.74,"No","No","No",88.84,4264347.5,356.198
0.634,2956,2038,"Yes","No","No",125.31,8896848.1,356.198
1.25,6018,14.14,"No","No","No",91.54,6224813,239.385
0.618,4019.4,405.2,"Yes","Yes","No",139.71,53091127.71,139.17
0.392,3438,1468.8,"Yes","No","Yes",102.38,26107612.25,84.056
0.27,4573.8,278.1,"Yes","Yes","Yes",100.82,50411830.58,15.946
0.612,5466,241,"Yes","No","No",78.36,3330135.2,239.385
0.652,2301,2639,"Yes","No","Yes",146.34,26926965.1,138.566
0.397,2369,1697,"Yes","No","No",61.12,8311811.9,20.206
0.728,3496,1184.05,"Yes","No","Yes",141.86,37592190.3,15.946
0.553,6469,693,"Yes","No","No",84.78,12886284.6,84.056
1.087,3789,1620,"Yes","Yes","No",169.65,23411497.55,143.946
1.038,2457,1722,"Yes","No","No",94.18,7346053.05,366.156
0.33,803,3676,"Yes","No","No",98.85,10477605.6,209.1
0.426,712,3700,"Yes","Yes","Yes",104.58,31896404.75,171.867
1.526,2478,2568,"Yes","No","No",139.56,3384378.55,503.863
0.769,1959,2028.6,"Yes","No","No",72.9,7581887.25,160.426
1.368,540,682.5,"Yes","No","No",80.8,3837933.75,751.727
1.667,575.25,2880,"No","Yes","No",200.38,3606914.85,385.908
0.92,4421,1189.4,"Yes","No","No",131.24,11548920.95,360.218
1.222,4584.8,420.6,"Yes","No","No",103.37,2790910.35,499.12
0.543,4268,1234.8,"Yes","No","No",130.52,12007523.15,139.17
0.933,1144,2932,"Yes","No","No",176.47,1323554.4,1849.185
0.8,2704,1898,"No","No","No",117.92,2653264.25,583.351
0.607,6253,164.35,"Yes","No","No",54.71,4596006.8,311.134
0.571,5057,1216,"Yes","No","Yes",159.62,20112610.57,84.056
0.357,2265,1830,"Yes","Yes","No",198.67,16687879.25,139.17
1.017,5669,404.5,"Yes","Yes","Yes",163.51,19294184.35,139.17
0.511,5643,1144,"Yes","Yes","Yes",200.05,47011600.65,125.65
0.349,6894,748,"Yes","No","Yes",165.71,35627034.1,125.65
0.449,5085,451.6,"Yes","Yes","Yes",155.51,27370601.3,84.056
0.574,3210,1091.55,"Yes","No","No",146.96,15872203.55,356.198
0.458,3257,1796.85,"Yes","Yes","No",89.86,12759985,84.056
