"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
2700,56,1.481,2.222,7.44,"No",165.61,447137.6,1729.173
5200,53,1.154,0.962,8.206,"No",122.43,636652.8,74.845
2900,46,1.034,3.448,4.332,"No",96.32,279328,2249.135
240000,40,3.75,4.188,7.102,"No",291.05,69851450.67,23.718
58000,40,1.379,0.414,7.285,"No",131.01,7598432.45,265
215000,65,1.86,1.907,5.867,"No",139.8,30056491.64,52.146
355000,60,2.49,4.121,7.627,"No",166.49,59105266.37,23.718
33000,50,2.727,4.121,7.054,"No",84.7,2795037.35,632.517
36000,168,1.389,1.028,5.313,"No",241.1,8679434.4,653.843
13000,50,1.923,3.692,6.764,"No",181.15,2354931.95,751.727
6e+05,60,2.167,1.798,6.395,"Yes",285.73,171438839.3,25.323
1900,40,1.053,1.579,3.776,"No",138.83,263774,1729.173
5000,50,0.8,1,8.152,"No",23.07,115368.4,23.718
3000,40,0.333,1.667,6.83,"No",227.67,683002.25,1831.778
2100,44,2.857,3.81,5.114,"No",128.21,269234,1274.256
8200,55,1.098,1.707,7.012,"No",137.78,1129788.8,1559.829
3800,55,0.789,1.842,7.838,"No",239.25,909160,1461.857
2500,40,1.2,2.4,7.465,"No",92.23,230566,1117.742
445000,65,1.124,1.798,6.756,"No",187.76,83553851.07,23.718
1800,54,1.111,3.333,7.386,"No",209.71,377477.8,1868.403
6800,62,1.471,1.324,8.109,"No",148.65,1010836.4,23.718
3100,45,0.968,2.258,6.805,"No",222.47,689642.45,1145.08
310000,50,2.323,0.661,7.231,"No",132.57,41096674.69,143.946
46000,60,1.87,3.304,6.695,"No",184.88,8504606.95,79.95
31000,40,4.194,5.032,7.901,"No",280.46,8694287.35,657.711
142000,60,0.704,1.141,6.905,"No",233.99,33227149.09,64.983
6e+05,55,3.333,5.75,6.805,"No",174.67,104803992.53,10.856
57000,40,1.825,2.14,6.893,"No",157.53,8979191.38,276.953
4400,90,1.591,1.818,4.093,"No",77.08,339133.2,657.711
5500,40,1.818,2.364,7.505,"No",193.56,1064585.2,1522.982
106000,55,2.557,2.698,6.687,"No",134.48,14254592.16,233.692
6000,80,2.167,2.5,6.672,"No",141.09,846563.55,233.303
66000,60,3.864,6.152,6.973,"No",172.28,11370657.2,365.059
71000,50,3.465,4.634,8.201,"No",184.86,13125280,48.841
3600,45,1.111,3.333,7.216,"No",52.23,188020.7,1779.412
1900,40,3.158,3.684,2.129,"No",81.07,154026.53,1851.67
37000,60,5.405,4.027,7.21,"No",178.31,6597419.75,276.953
9900,114,0.909,0.909,7.282,"No",167,1653268.4,23.718
51000,50,2.549,1.882,5.642,"No",62.23,3173976.3,532.964
52000,50,1.923,2.692,7.094,"No",227.97,11854251.15,583.627
174000,60,3.448,5.782,7.858,"No",270.87,47131672,20.286
27000,40,1.481,2.074,7.811,"No",208.04,5617206.46,1791.31
200001,60,4.25,0.825,8.125,"No",278.82,55764481.4,48.841
28000,45,2.5,3.429,1.741,"No",169.9,4757119.5,657.711
68000,54,2.353,2.735,7.372,"No",215.71,14668537.01,175.756
3500,52,4.286,5.143,7.253,"Yes",237.73,832062,1851.67
150000,168,3,5.04,6.825,"No",762.93,114439581.84,53.724
1700,60,2.353,3.529,6.916,"No",103.35,175703.15,1559.829
7000,40,1.429,2.143,6.292,"No",136.52,955645.25,1484.515
136000,40,1.103,2.25,8.004,"No",236.13,32113069.1,50.319
6000,168,0.667,1.5,7.365,"No",667.53,4005157.45,23.718
7e+05,65,1.429,2.16,6.508,"No",139.12,97383801.17,23.718
3500,40,2.857,3.714,7.58,"No",4.78,16746.8,920.124
6000,45,0.833,1.333,5.581,"No",115.7,694220.8,1130.475
160000,40,1.25,1.281,8.197,"No",189.17,30267650,64.983
18000,50,1.667,2.833,7.307,"No",39.96,719320,1807.463
220000,60,2.273,1.591,6.828,"No",257.98,56754584.25,452.42
3000,60,2.333,2.333,8.128,"No",427.14,1281425.95,48.841
5000,40,1,1.6,7.51,"No",77.07,385372.4,4637.851
235000,168,3.404,5.17,7.401,"No",278.7,65495211.6,62.963
12250,45,1.143,1.551,4.235,"No",38.73,474384.05,1381.421
10750,60,4.651,3.349,7.609,"No",366.84,3943564.8,1023.608
11000,45,5.455,5.545,7.624,"No",161.24,1773615.2,1849.185
198000,58,4.04,4.394,6.758,"No",144.21,28554117.2,50.319
3100,45,0.645,1.613,7.235,"No",119.74,371184.8,1667.755
10000,50,4,7.5,6.874,"No",279.72,2797216.45,1868.403
4000,60,5,2.25,6.531,"No",331.33,1325334.85,1522.982
88000,60,5.193,3.42,5.252,"No",261.09,22976080.75,158.3
170000,65,2.353,2.759,6.736,"No",189.73,32253598.31,53.724
1500,40,2,2.667,6.03,"No",66.28,99417.15,1807.463
144000,168,2.917,2.882,4.294,"No",208.67,30048347.6,26.089
