"SOURCE_EUI","SOURCE_ENERGY","FINALWT","SQFT","NFLOOR","WKHRS","NWKER","COOLP","CDD65","HEATP","HDD65","IsCooking","IsOpenWeekends","IsHighSchool"
156.23,18747618.4,16.829,120000,2,65,45,10,1129,100,5224,"Yes","No","Yes"
55.67,1447505.5,751.727,26000,2,55,22,100,2094,100,3420,"No","No","No"
72.76,13096619.2,139.17,180000,4,30,80,2,647,86,5925,"Yes","No","No"
79.22,6416526.55,209.1,81000,1,40,40,100,1467,100,3055,"No","No","No"
98.45,1648988.25,484.852,16750,1,40,3,70,2701,100,2454,"No","No","Yes"
155.17,7060095.7,133.338,45500,1,40,25,100,2101,100,2835,"Yes","No","No"
46.39,1693155.45,653.059,36500,2,70,14,40,1091,100,5907,"Yes","No","No"
134.08,5161916.9,360.218,38500,1,50,38,15,2389,100,2870,"Yes","No","No"
229.72,15850574.25,239.385,69000,1,80,70,33,921,100,5579,"Yes","No","No"
93.98,6954883.25,239.385,74000,2,60,45,80,756,100,7538,"Yes","No","No"
117.24,8558180.75,242.087,73000,1,35,75,100,1130,100,4546,"Yes","Yes","No"
93.4,21015329.3,84.056,225000,2,50,60,75,611,100,7283,"Yes","No","No"
100.93,24223971.8,84.056,240000,2,45,168,100,1279,100,5610,"Yes","No","No"
91.24,2873914.4,360.218,31500,1,45,51,5,544,100,6834,"Yes","No","No"
55.75,1449416.15,138.566,26000,1,48,32,90,161,90,3251,"Yes","Yes","No"
104.85,22542103.5,84.056,215000,2,40,150,70,1387,100,5013,"Yes","Yes","Yes"
43.66,2924992,356.198,67000,1,85,40,100,814,100,5955,"No","No","Yes"
95.03,1900654,316.263,20000,1,50,15,100,1347,100,1364,"No","No","No"
205.6,67846738.05,139.17,330000,4,86,225,95,952,100,6835,"Yes","Yes","Yes"
66.74,13348888.8,84.056,2e+05,5,45,200,75,1515,100,3945,"Yes","No","No"
102.38,8190070.35,139.17,80000,2,70,50,80,658,100,5626,"Yes","Yes","No"
130.91,3174516.8,503.863,24250,1,40,35,100,3516,100,983,"No","No","No"
126.7,12670166.25,362.07,1e+05,1,50,35,100,1768,100,2755,"Yes","No","Yes"
104.93,8079844.85,242.087,77000,1,60,82,100,1545,100,4015,"Yes","Yes","No"
114.79,3902910.2,139.17,34000,1,60,50,100,1017,100,5056,"Yes","No","No"
198.19,35674400.3,84.056,180000,7,50,80,20,1740,100,3621,"Yes","No","Yes"
153.22,30336910.83,179.596,198000,3,55,125,100,966,100,6227,"Yes","Yes","Yes"
57.93,15931689.2,94.697,275000,2,70,112,10,699,100,5731,"Yes","No","No"
35.1,6949314.4,139.17,198000,2,96,150,100,1167,100,1166,"Yes","Yes","Yes"
56.23,4104807.7,209.1,73000,1,45,53,94,2023,100,2942,"Yes","No","No"
44.37,1464156.4,360.218,33000,1,50,23,70,1745,85,4571,"No","No","No"
119.65,28717107.69,207.132,240000,2,85,140,80,1148,100,5206,"Yes","Yes","Yes"
128.39,10271003.17,139.17,80000,4,65,90,15,1145,100,4192,"Yes","Yes","No"
140.62,13359204.25,133.338,95000,2,50,35,100,1595,100,4855,"No","Yes","No"
147.89,9317091.59,532.964,63000,1,60,30,100,1389,100,3200,"Yes","No","No"
77.29,8811290.77,84.056,114000,4,40,100,99,1415,100,4356,"Yes","No","No"
88.84,4264347.5,356.198,48000,3,40,40,2,887,100,6379,"No","No","No"
125.31,8896848.1,356.198,71000,2,50,45,100,2038,100,2956,"Yes","No","No"
91.54,6224813,239.385,68000,3,40,85,2,707,100,6018,"No","No","No"
139.71,53091127.71,139.17,380000,3,80,235,40,1013,90,4466,"Yes","Yes","No"
102.38,26107612.25,84.056,255000,3,40,100,90,1632,100,3438,"Yes","No","Yes"
100.82,50411830.58,15.946,5e+05,3,75,135,30,927,90,5082,"Yes","Yes","Yes"
78.36,3330135.2,239.385,42500,2,45,26,25,964,100,5466,"Yes","No","No"
146.34,26926965.1,138.566,184000,1,40,120,100,2639,100,2301,"Yes","No","Yes"
61.12,8311811.9,20.206,136000,1,35,54,100,1697,100,2369,"Yes","No","No"
141.86,37592190.3,15.946,265000,3,47,193,85,1393,100,3496,"Yes","No","Yes"
