"SQFT","WKHRS","NWKER","PCTERMN_TOT","IsBank","COOLP","CDD65","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
58000,40,80,24,"No",100,1458,131.01,7598432.45,265
215000,65,400,410,"No",86,918,139.8,30056491.64,52.146
355000,60,884,1463,"No",90,4791,166.49,59105266.37,23.718
33000,50,90,136,"No",95,1678,84.7,2795037.35,632.517
36000,168,50,37,"No",75,1193,241.1,8679434.4,653.843
13000,50,25,48,"No",95,1237,181.15,2354931.95,751.727
6e+05,60,1300,1079,"Yes",90,1219,285.73,171438839.3,25.323
1900,40,2,3,"No",50,1905,138.83,263774,1729.173
5000,50,4,5,"No",100,3469,23.07,115368.4,23.718
3000,40,1,5,"No",100,925,227.67,683002.25,1831.778
2100,44,6,8,"No",66,2318,128.21,269234,1274.256
8200,55,9,14,"No",100,1110,137.78,1129788.8,1559.829
3800,55,3,7,"No",100,2534,239.25,909160,1461.857
2500,40,3,6,"No",100,1745,92.23,230566,1117.742
445000,65,500,800,"No",90,1820,187.76,83553851.07,23.718
1800,54,2,6,"No",100,1613,209.71,377477.8,1868.403
6800,62,10,9,"No",100,3325,148.65,1010836.4,23.718
3100,45,3,7,"No",100,902,222.47,689642.45,1145.08
310000,50,720,205,"No",100,1381,132.57,41096674.69,143.946
46000,60,86,152,"No",100,808,184.88,8504606.95,79.95
31000,40,130,156,"No",100,2701,280.46,8694287.35,657.711
142000,60,100,162,"No",100,997,233.99,33227149.09,64.983
6e+05,55,2000,3450,"No",90,1921,174.67,104803992.53,10.856
57000,40,104,122,"No",100,985,157.53,8979191.38,276.953
4400,90,7,8,"No",50,3591,77.08,339133.2,657.711
5500,40,10,13,"No",100,1818,193.56,1064585.2,1522.982
106000,55,271,286,"No",90,1685,134.48,14254592.16,233.692
6000,80,13,15,"No",100,790,141.09,846563.55,233.303
66000,60,255,406,"No",100,1067,172.28,11370657.2,365.059
71000,50,246,329,"No",100,3643,184.86,13125280,48.841
3600,45,4,12,"No",100,1361,52.23,188020.7,1779.412
1900,40,6,7,"No",33,634,81.07,154026.53,1851.67
37000,60,200,149,"No",100,1353,178.31,6597419.75,276.953
9900,114,9,9,"No",100,1454,167,1653268.4,23.718
51000,50,130,96,"No",100,282,62.23,3173976.3,532.964
52000,50,100,140,"No",100,1205,227.97,11854251.15,583.627
174000,60,600,1006,"No",100,2586,270.87,47131672,20.286
27000,40,40,56,"No",100,2467,208.04,5617206.46,1791.31
200001,60,850,165,"No",100,3377,278.82,55764481.4,48.841
28000,45,70,96,"No",25,1059,169.9,4757119.5,657.711
68000,54,160,186,"No",100,1591,215.71,14668537.01,175.756
3500,52,15,18,"Yes",100,1412,237.73,832062,1851.67
150000,168,450,756,"No",95,1318,762.93,114439581.84,53.724
1700,60,4,6,"No",100,1008,103.35,175703.15,1559.829
7000,40,10,15,"No",100,540,136.52,955645.25,1484.515
136000,40,150,306,"No",100,2994,236.13,32113069.1,50.319
6000,168,4,9,"No",100,1579,667.53,4005157.45,23.718
7e+05,65,1000,1512,"No",80,3413,139.12,97383801.17,23.718
3500,40,10,13,"No",100,1958,4.78,16746.8,920.124
6000,45,5,8,"No",75,1705,115.7,694220.8,1130.475
160000,40,200,205,"No",99,3945,189.17,30267650,64.983
18000,50,30,51,"No",100,1490,39.96,719320,1807.463
220000,60,500,350,"No",100,923,257.98,56754584.25,452.42
3000,60,7,7,"No",100,3387,427.14,1281425.95,48.841
5000,40,5,8,"No",100,1826,77.07,385372.4,4637.851
235000,168,800,1215,"No",100,1637,278.7,65495211.6,62.963
12250,45,14,19,"No",70,424,38.73,474384.05,1381.421
10750,60,50,36,"No",100,2016,366.84,3943564.8,1023.608
11000,45,60,61,"No",100,2047,161.24,1773615.2,1849.185
198000,58,800,870,"No",100,861,144.21,28554117.2,50.319
3100,45,2,5,"No",100,1387,119.74,371184.8,1667.755
10000,50,40,75,"No",100,967,279.72,2797216.45,1868.403
4000,60,20,9,"No",100,686,331.33,1325334.85,1522.982
88000,60,457,301,"No",100,191,261.09,22976080.75,158.3
170000,65,400,469,"No",100,842,189.73,32253598.31,53.724
1500,40,3,4,"No",80,1877,66.28,99417.15,1807.463
144000,168,420,415,"No",62,1019,208.67,30048347.6,26.089
10250,80,15,34,"No",100,4449,144.9,1485260,1197.386
2500,50,4,6,"No",100,1619,224.94,562352.35,316.263
380000,60,1900,2625,"No",100,880,195.7,74365570.19,25.323
8e+05,60,1700,2000,"No",100,122,103.19,82552187.38,23.718
6400,50,5,9,"Yes",100,1086,111.04,710675,1879.456
1001,35,2,3,"No",80,1298,275.73,276003.7,1879.456
42500,50,30,37,"No",80,1324,46.75,1986833.1,249.445
360000,68,1100,1110,"No",100,2028,72.39,26061339.43,23.718
60000,60,155,207,"No",100,791,218.58,13114951.85,276.953
14000,60,17,16,"No",100,4008,131.28,1837924.2,270.641
6e+05,55,1600,3027,"Yes",95,1110,147.21,88323912.51,25.323
6900,50,23,36,"No",100,927,351.51,2425404.07,1197.386
17000,45,7,23,"No",100,1232,110.62,1880585,1667.755
178000,45,150,125,"No",80,1524,107.05,19054988.2,24.435
1e+06,60,2100,1620,"No",50,1366,53.08,53083717,19.69
335000,55,900,697,"No",100,1281,157.12,52634863.3,48.841
44500,40,84,250,"No",100,1508,144.29,6420950.2,158.3
30500,168,100,80,"No",100,848,331.58,10113311.47,1879.456
100001,168,85,198,"No",100,437,292.92,29292470.2,234.685
52000,65,60,67,"No",100,1439,95.75,4978792,336.402
64000,50,52,37,"Yes",100,2235,117.97,7550394.95,226.828
235000,45,100,203,"No",95,2077,91.02,21389980.15,19.69
4500,48,5,12,"Yes",100,1507,218.25,982119.6,1807.463
3200,168,5,1,"No",20,1502,38.38,122802.4,1868.403
37000,50,30,77,"No",100,1113,26.35,974820,19.69
2000,60,5,7,"No",60,1265,77.73,155452.85,1851.67
6300,40,12,14,"No",90,1628,134.31,846168.4,2140.906
5300,45,12,9,"No",100,2065,202.22,1071750.4,1807.463
20250,40,20,35,"No",100,112,119.48,2419422.25,583.627
37000,80,20,46,"No",100,1564,162.01,5994472.4,308.206
6900,50,17,46,"No",40,1805,128.34,885571.22,1130.475
5600,56,3,6,"No",100,3241,152.48,853902,48.841
5000,80,12,22,"No",75,162,137.81,689029.95,1667.755
2000,40,8,6,"No",100,1554,141.22,282436.37,1849.185
114000,60,200,412,"No",100,289,254.1,28967801.1,77.11
2400,38,4,6,"No",100,1824,113.79,273101.85,1667.755
186000,45,200,207,"No",100,3349,126.36,23502830.4,50.319
26000,45,20,46,"No",100,824,192.76,5011722.8,48.841
205000,40,495,563,"No",75,180,93.71,19211010,48.841
230000,65,470,1509,"No",100,1498,179.97,41391973.11,15.238
75000,66,240,330,"No",100,1665,204.37,15327418.4,48.841
14750,168,13,19,"No",60,1973,111.08,1638393.05,583.351
9000,75,12,11,"No",90,1446,140.23,1262097.2,1655.242
32500,168,17,10,"No",100,1533,69.9,2271654,482.285
11750,72,15,49,"Yes",100,801,198.73,2335083.1,1834.966
220000,60,400,475,"No",100,781,116.81,25697441.77,52.146
3050,50,5,9,"No",100,2035,95.53,291376.4,788.005
14000,70,25,47,"No",100,2236,104.77,1466792.25,1155.428
44000,85,107,86,"No",100,1879,240.55,10584022.75,639.722
36500,50,118,195,"No",100,1908,175.78,6416015.2,190.59
4000,40,8,8,"No",100,1533,218.31,873236,1807.463
370000,66,727,1363,"No",100,3674,246.59,91239469.91,23.718
6700,40,12,26,"No",80,881,198.06,1326992.45,751.727
13500,168,50,90,"No",100,701,1115.67,15061500.23,55.969
2700,53,2,11,"Yes",100,1484,104.97,283427.2,1807.463
325000,60,600,712,"No",80,897,147.23,47851066.3,25.323
1200,119,3,4,"No",100,4156,373.74,448484.4,23.718
14000,45,15,14,"Yes",100,1746,153.2,2144809.8,918.03
3000,40,8,9,"Yes",66,2398,312.35,937038.9,1807.463
2700,50,13,16,"Yes",100,110,158.73,428573.6,1461.857
2500,40,2,7,"No",80,3398,538.11,1345271.2,1879.456
32000,60,105,126,"No",100,1003,161.3,5161566.39,276.953
98000,50,150,200,"No",100,1486,279.88,27428396.2,170.027
68000,46,150,149,"No",100,890,139.82,9507608.78,1851.67
45000,50,100,128,"No",80,708,193.03,8686486.55,545.858
8000,40,23,24,"Yes",70,942,87.36,698848.15,1791.31
1250,70,1,4,"No",35,1328,913.81,1142267.35,639.722
31000,84,65,84,"No",100,1422,70.84,2195903.85,657.711
25000,168,90,136,"No",100,2509,454.19,11354649.95,657.711
132000,50,350,331,"No",100,999,182.92,24145885.75,50.319
3100,40,3,5,"No",50,2347,140.7,436179.8,1868.403
8200,45,8,12,"No",100,3137,45.93,376602.8,1197.386
116000,40,300,231,"No",100,3327,169.46,19657844.85,90.622
58000,45,215,216,"No",100,634,102.25,5930434.8,126.647
6600,70,40,47,"No",100,2095,607.58,4010047.3,1667.755
98000,75,323,393,"No",85,830,129.07,12648864.2,55.969
