"SQFT","WKHRS","NWKER_SQFT","PCTERMN_SQFT","CDD65_COOLP","IsBank","SOURCE_EUI","SOURCE_ENERGY","FINALWT"
3200,45,2.188,4.688,4.05,"No",328.88,1052413.6,1031.346
35500,168,1.465,1.859,8.001,"No",262.92,9333668.02,657.711
2000,40,1,1.5,7.569,"No",50.2,100399.6,1807.463
14000,40,2.857,5.357,4.403,"No",234.38,3281280.8,583.627
62000,60,2.823,2.742,6.096,"No",142.76,8851031.35,217.118
7100,50,1.408,2.535,5.229,"No",87.96,624505,1851.67
78000,50,0.897,0.513,3.996,"No",70.52,5500708.05,62.703
3600,53,1.389,1.389,8.337,"No",136.74,492270.45,48.841
4800,44,0.833,1.458,2.738,"Yes",179.52,861673.54,1461.857
98000,60,2.908,3.673,7.967,"No",262.48,25723494.73,178.394
42000,50,3.571,3.857,8.077,"No",200.16,8406738.9,657.711
4500,40,1.556,2.222,7.615,"No",37.78,170031.4,1807.463
2500,40,1.2,2,5.784,"No",53.29,133218.05,1655.242
15000,40,0.333,0.6,6.772,"Yes",99.26,1488853.8,1879.456
31500,168,2.222,3.492,6.519,"No",254.43,8014529.14,52.146
36000,84,0.833,0.75,7.512,"No",156.59,5637329.6,632.517
3900,72,3.077,1.538,7.009,"No",109.93,428738.45,1667.755
5000,40,0.2,0.2,6.997,"No",112.39,561960,953.188
26000,50,2.308,2.538,4.442,"No",40.4,1050442.4,1868.403
9000,60,2.111,4.444,7.519,"No",188.35,1695193.5,1130.475
39500,40,0.886,1.165,6.223,"No",54.35,2146702.95,639.722
2800,45,3.929,5.714,4.142,"Yes",263.89,738904.04,1851.67
4000,50,5.5,7.75,6.941,"Yes",353.78,1415109.86,1107.753
5400,50,1.296,3.333,7.06,"No",173.83,938673.1,31.359
90000,60,1.111,1.578,6.612,"No",198.77,17889074.94,84.056
62000,55,3.226,4.274,6.702,"No",95.48,5920041.4,276.953
1500,42,2,4.667,7.618,"Yes",372.13,558188.4,1107.753
5400,50,1.111,1.852,6.356,"No",53.77,290334.8,1828.052
7600,50,5.263,8.289,7.529,"No",68.9,523614,1117.742
44000,45,2.477,2.636,6.775,"No",48.12,2117325.31,532.964
1200,50,2.5,10,7.314,"No",135.72,162859.2,1868.403
7900,40,2.785,3.544,8.259,"No",86.67,684670.35,1868.403
40000,48,1.125,1.9,6.858,"Yes",211.31,8452288.95,1162.263
5500,50,3.455,4.545,6.714,"No",108.57,597123.1,1461.857
10001,53,3.5,4.1,6.822,"No",77.57,775748.75,1145.08
9900,50,0.505,1.01,6.75,"No",31.08,307650,2396.734
6700,50,1.791,5.373,7.462,"No",88.84,595246.4,1828.052
5000,43,1.8,2,6.501,"No",150.11,750540,1667.755
6000,35,0.167,0.167,1.506,"No",35.83,214999.75,1807.463
11000,50,4.455,8.182,6.153,"No",669.75,7367200.33,1667.755
6700,40,1.94,3.881,5.777,"No",99.98,669875.15,1879.456
4000,60,2.5,3.75,7.648,"No",61.81,247248.4,1729.173
7000,40,1.429,2.286,3.247,"No",90.6,634225.2,48.841
37500,50,4,6,8.256,"No",146.45,5491934,19.69
14000,50,1.429,1.786,8.046,"No",84.43,1182008.8,1162.263
6600,50,0.758,1.667,2.138,"No",71.6,472592.4,575.39
2500,60,3.2,4.8,6.498,"No",77.29,193230.8,1851.67
5200,80,1.731,1.923,1.21,"No",103.11,536166.4,1879.456
7100,45,3.239,2.535,7.639,"No",99.51,706546.4,1117.742
5000,60,0.6,3.2,8.255,"No",347.83,1739152.05,23.718
46500,75,1.613,1.785,7.042,"No",336.76,15659254.1,247.574
99000,60,2.525,2.576,6.954,"No",184.88,18303208,52.146
26000,50,2.923,0.885,5.922,"No",699.46,18185857.9,196.322
1700,48,2.353,2.353,5.438,"No",122.51,208263.65,1667.755
17750,168,1.127,5.634,6.015,"No",39.24,696422.3,1031.346
17000,40,1.941,2.059,7.657,"No",95.33,1620626,1069.328
97000,55,1.546,1.691,7.122,"No",65.99,6401113.6,239.385
2500,49,4,5.2,8.014,"No",241.91,604768.15,1879.456
1800,52,2.222,2.778,7.432,"No",522.96,941319.05,48.841
4000,40,2.25,2.5,6.326,"No",84.18,336715.75,1868.403
25001,100,2,4.2,6.978,"No",514.31,12858205.15,145.504
1200,40,1.667,2.5,7.382,"No",92.85,111419.7,1729.173
8200,42,2.439,2.561,6.723,"Yes",110.97,909971.3,1461.857
95000,55,1.842,7.474,7.206,"No",349.14,33167996.4,62.141
17750,45,3.099,5.07,7.48,"No",199.3,3537607.5,1117.742
2500,50,2.4,1.2,7.902,"No",264.34,660850.4,19.69
5200,45,1.538,2.115,7.47,"No",89.99,467972.75,1451.617
65000,40,0.923,0.169,5.219,"No",126.66,8233208.04,179.596
6700,96,2.388,3.881,6.08,"No",161.67,1083160.4,1828.052
66000,50,2.652,4.697,6.086,"No",177.33,11703952.8,139.17
7500,50,2.667,3.333,4.852,"No",95.77,718257.81,1868.403
2500,50,2.8,6,7.083,"No",123.13,307824.3,4458.21
43500,168,0.46,1.379,7.427,"No",361.16,15710479.29,321.294
41500,60,1.928,2.313,7.044,"No",46.6,1934051.35,55.969
3000,168,1,1,8.247,"No",209.12,627353.65,48.841
10750,50,1.023,1.767,6.708,"No",96.73,1039829,964.604
