"btype","exp","dependent","model","interaction","transform","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape","nrmse_iqr","nrmse_range","nrmse_mean"
"hotel","E2","SOURCE_ENERGY","RegInt",4,"meanCent_logDV",104,99,99,0.998,0.968,66570473119271.8,8159073.055,3771609.074,0.059,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",5,"meanCent",104,104,120,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",5,"meanCent_logDV",104,104,120,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",5,"meanCent",104,104,120,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",5,"meanCent_logDV",104,104,120,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",6,"meanCent",104,104,127,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",6,"meanCent_logDV",104,104,127,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",6,"meanCent",104,104,127,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",6,"meanCent_logDV",104,104,127,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",7,"meanCent",104,104,128,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_EUI","RegInt",7,"meanCent_logDV",104,104,128,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",7,"meanCent",104,104,128,1,NA,0,0,0,0,0,0,0
"hotel","E2","SOURCE_ENERGY","RegInt",7,"meanCent_logDV",104,104,128,1,NA,0,0,0,0,0,0,0
"hotel","E3a","SOURCE_EUI","rpart",1,"meanCent",104,8,8,0.455,0.415,3576.167,59.801,44.909,0.262,54.218,18.669,32.441
"hotel","E3a","SOURCE_EUI","rpart",1,"meanCent_logDV",104,7,7,0.316,0.273,4059.582,63.715,50.039,0.284,0,0,0
"hotel","E3a","SOURCE_ENERGY","rpart",1,"meanCent",104,8,8,0.869,0.859,287749862656426,16963191.405,11491994.041,0.419,35.148,11.664,41.329
"hotel","E3a","SOURCE_ENERGY","rpart",1,"meanCent_logDV",104,8,8,0.9,0.892,209752293853449,14482827.55,9830722.089,0.304,0,0,0
"hotel","E3b","SOURCE_EUI","xgboost",1,"meanCent",104,8,8,0.857,0.847,1443.925,37.999,27.245,0.158,34.451,11.863,20.614
"hotel","E3b","SOURCE_EUI","xgboost",1,"meanCent_logDV",104,7,7,0,-0.062,36968.601,192.272,179.26,0.969,0,0,0
"hotel","E3b","SOURCE_ENERGY","xgboost",1,"meanCent",104,7,7,0.944,0.94,135324353342282,11632899.61,7721067.374,0.263,24.103,7.999,28.342
"hotel","E3b","SOURCE_ENERGY","xgboost",1,"meanCent_logDV",104,8,8,0,-0.073,3021662845863836,54969653.863,41044262.183,1,0,0,0
"worship","E1","SOURCE_EUI","Reg",1,"meanCent",249,6,6,0.162,0.145,1907.432,43.674,32.482,0.687,76.273,19.198,61.487
"worship","E1","SOURCE_EUI","Reg",1,"meanCent_logDV",249,6,6,0.183,0.166,2102.562,45.854,31.565,0.553,0,0,0
"worship","E1","SOURCE_ENERGY","Reg",1,"meanCent",249,6,6,0.714,0.708,1924859795642.54,1387393.165,658508.238,0.832,110.9,7.303,95.402
"worship","E1","SOURCE_ENERGY","Reg",1,"meanCent_logDV",249,6,6,0.559,0.55,88752343782769.6,9420846.235,1924988.433,0.868,0,0,0
